Arabic Word 	Gloss	Diacritized Reference
البك	Ilbak	بِك
لك	Lak	لَك
لك	Lugo	لُك
مق	Meg	مِق
ني	Ney	نَي
ني	Ní	نِي
سار	Sarh	سَار
شاو	Shaw	شَاو
آبا	Aba	آبَا
الست	Al-Sit	سِتّ
آمل	Amol	آمُل
آبا	Appa	آبَا
أوش	Auch	أَوْش
بم	Bam	بَم
بان	Ban	بَان
بيث	Beth	بِيث
بوش	Bosch	بُوش
بان	Bunn	بَان
بوش	Busch	بُوش
بوش	Bush	بُوش
كام	Cam	كَام
كار	Carr	كَار
كام	Cham	كَام
داي	Dai	دَاي
داي	Day	دَاي
ديب	Deeb	دِيب
ديب	Deep	دِيب
داي	Dey	دَاي
ديب	Dib	دِيب
الواس	Elvas	إِلْوَاس
فات	Fate	فَات
جين	Gene	جِين
جين	Gin	جِين
جين	Gine	جِين
هاي	Hai	هَاي
هاي	Hay	هَاي
أوش	Hoche	أَوْش
حور	Hur	حُور
جآي	JeA	جَآي
جين	Jean	جِين
جين	Jeane	جِين
جين	Jeanne	جِين
جين	Jin	جِين
كاج	Kaj	كَاج
كام	Kam	كَام
كخ	Koch	كُخ
لام	Lame	لَام
مار	Mar	مَار
ميد	Mead	مِيد
ميد	Meade	مِيد
أم	Mom	أُمّ
بان	Moringa	بَان
نام	Nam	نَام
أوش	Osh	أُوش
بان	Pan	بَان
بوش	Push	بُوش
رِيس	Reese	رِيس
رين	Reine	رِين
رين	Rennes	رِين
رين	Rin	رِين
روت	Root	رُوت
روت	Rott	رُوت
سار	Sar	سَار
تاي	Tay	تَاي
تيد	TED	تِيد
تيد	Ted	تِيد
تيد	Teide	تِيد
تاي	Ty	تَاي
أم	Umm	أُمّ
عور	Ur	عُور
ويق	Vieq	وِيق
ويد	Wade	وِيد
ور	Ware	وِر
وود	Wood	وُود
آبا	ABBA	آبَا
أدل	Adel	أَدِل
طعد	Agesander	طَعْد
عاي	Ai	عَاي
آجين	Ajin	آجِين
أقا	Akka	أَقَّا
العجم	Al-Ajam	عَجَم
العقق	Al-Aqaq	عَقَق
الفنخ	Al-Fankh	فَنْخ
الفرع	Al-Fara	فَرَع
القبو	Al-Qabu	قَبْو
القصف	Al-Qasf	قَصْف
